datetime,MAIN,SIDE,SOUP,DESSERT,SALAD,BOTTLE,DRINK,ICE_CREAM,SWEETS_N_SNACKS,BAKED_GOOD,CONDIMENT,FRUIT,ALCOHOL,OTHER,TOTAL_SALES
2023-01-02 11:30:00,5,2,0,1,1,2,0,0,0,0,0,0,0,0,11
2023-01-02 11:45:00,7,0,0,3,2,2,0,0,0,0,0,0,0,0,14
2023-01-02 12:00:00,13,5,0,1,1,2,0,0,0,0,0,0,0,0,22
2023-01-02 12:15:00,13,3,0,5,2,2,0,0,0,0,0,0,0,0,25
2023-01-02 12:30:00,17,8,0,7,3,6,0,0,0,0,0,0,0,0,41
2023-01-02 12:45:00,10,3,0,2,2,3,0,0,0,0,0,0,0,0,20
2023-01-02 13:00:00,20,4,0,6,7,2,0,0,0,0,0,0,0,0,39
2023-01-02 13:15:00,3,4,0,1,2,0,0,0,0,0,0,0,0,0,10
2023-01-02 13:30:00,22,4,0,4,6,2,0,0,0,0,0,0,0,0,38
2023-01-02 13:45:00,9,1,0,5,1,1,0,0,0,0,0,0,0,0,17
2023-01-03 11:30:00,10,13,3,2,7,5,0,0,0,0,0,0,0,0,40
2023-01-03 11:45:00,7,9,2,2,6,3,0,0,0,0,0,0,0,0,29
2023-01-03 12:00:00,15,27,5,5,9,3,0,0,0,0,0,0,0,0,64
2023-01-03 12:15:00,12,30,10,5,11,3,0,0,0,0,0,0,0,0,71
2023-01-03 12:30:00,23,15,3,9,6,3,0,0,0,0,0,0,0,0,59
2023-01-03 12:45:00,20,18,2,9,4,3,0,0,0,0,0,0,0,0,56
2023-01-03 13:00:00,27,26,6,14,18,6,0,0,0,0,0,0,0,0,97
2023-01-03 13:15:00,22,17,7,9,17,1,0,0,0,0,0,0,0,0,73
2023-01-03 13:30:00,4,6,4,1,3,2,0,0,0,0,0,0,0,0,20
2023-01-03 13:45:00,7,5,5,4,6,0,0,0,0,0,0,0,0,0,27
2023-01-04 11:30:00,3,4,2,1,2,3,0,0,0,0,0,0,0,0,15
2023-01-04 11:45:00,8,15,8,5,10,2,0,0,0,0,0,0,0,0,48
2023-01-04 12:00:00,11,19,13,3,11,2,0,0,0,0,0,0,0,0,59
2023-01-04 12:15:00,7,24,16,4,14,6,0,0,0,0,0,0,0,0,71
2023-01-04 12:30:00,11,14,7,8,5,6,0,0,0,0,0,0,0,0,51
2023-01-04 12:45:00,11,16,7,8,10,2,0,0,0,0,0,0,0,0,54
2023-01-04 13:00:00,7,38,28,10,23,14,0,0,0,1,0,0,0,0,121
2023-01-04 13:15:00,16,19,13,2,14,4,0,0,0,0,0,0,0,0,68
